236,47:20.094N,13:49.843E,2710.0,,Hochwild,
237,47:14.868N,15:53.278E,340.0,,Hofkirch,
238,47:19.050N,13:6.233E,810.0,,Hofmark,
239,47:38.933N,15:24.383E,1956.0,,Hohe Vei,
240,47:46.967N,14:19.400E,1938.0,,Hoher No,
241,47:18.717N,12:51.267E,1842.0,,Honigkog,
242,46:1.283N,14:18.033E,340.0,,Horjul,
243,46:27.000N,14:0.033E,602.0,,Hrusica,
244,46:38.716N,15:1.816E,1518.0,,Huehnerk,
245,46:56.383N,14:32.950E,790.0,,Huettenb,
246,47:11.254N,13:12.949E,950.0,,Huettsch,
247,47:20.300N,12:54.683E,2096.0,,Hundstei,
248,46:0.167N,14:1.567E,334.0,,Idrija,
249,45:57.467N,14:31.850E,290.0,,IG,
250,45:55.866N,13:37.733E,76.0,,Iii Arma,
251,47:4.850N,15:57.633E,288.0,,Ilz A2 A,
252,47:33.475N,15:9.247E,772.0,,Innerzwa,
253,45:43.079N,14:44.808E,484.0,,Inotherm,
254,47:45.817N,12:44.517E,688.0,,Inzell E,
255,47:30.350N,14:6.283E,670.0,,Irdning,
256,45:56.033N,14:48.183E,326.0,,Ivancna,
257,46:16.316N,14:12.500E,806.0,,Jamnik C,
258,47:22.399N,12:41.399E,912.0,,Jausern,
259,46:19.483N,14:27.850E,1416.0,,Javorjev,
260,46:26.150N,14:3.033E,572.0,,Jesenice,
261,46:25.083N,14:31.366E,1172.0,,Jezersko,
262,46:24.295N,14:30.479E,892.0,,Jezersko,
263,47:31.730N,14:37.094E,870.0,,Johnsbac,
264,47:0.200N,12:38.700E,1322.0,,Kals Tau,
265,47:25.499N,14:43.999E,756.0,,Kalwang,
266,47:25.683N,14:45.400E,772.0,,Kalwang,
267,46:22.935N,14:12.974E,682.0,,KAMEN,
268,47:23.433N,14:54.150E,664.0,,Kammern,
269,46:12.850N,14:36.317E,370.0,,Kamnik,
270,46:13.850N,14:34.683E,458.0,,Kamnik G,
271,46:40.650N,13:54.116E,1528.0,,Kanzelho,
272,45:55.133N,15:42.183E,144.0,,Kapele R,
273,47:38.992N,15:37.288E,704.0,,Kapellen,
274,47:26.417N,15:17.200E,500.0,,Kapfenbe,
275,46:53.417N,15:58.767E,380.0,,Kapfenst,
276,47:15.600N,12:44.483E,788.0,,Kaprun K,
277,46:31.183N,14:1.383E,658.0,,Karawank,
278,45:29.183N,15:33.567E,110.0,,Karlo,
279,47:26.089N,14:4.659E,1812.0,,Karlspit,
280,47:10.133N,13:15.783E,1020.0,,Karteis,
281,47:14.560N,14:31.829E,858.0,,Katzling,
282,46:30.376N,13:57.029E,2022.0,,KEPA,
283,47:5.917N,14:47.300E,1520.0,,Kickerlo,
284,47:39.350N,16:5.450E,430.0,,Kirchau,
285,46:59.250N,15:45.850E,368.0,,Kirchber,
286,47:39.117N,14:43.700E,538.0,,Kirchenl,
287,47:12.483N,12:41.433E,2446.0,,Kitzstei,
288,46:37.233N,14:18.533E,448.0,,Klagenfu,
289,46:26.816N,14:10.983E,1678.0,,Klagenfu,
290,46:43.516N,14:32.700E,522.0,,Klein St,
291,47:12.917N,14:50.267E,626.0,,Knittelf,
292,46:14.786N,13:32.492E,240.0,,Kobarid,
293,46:14.033N,13:57.933E,1478.0,,KOBLA,
294,45:38.533N,14:51.166E,464.0,,Kocevje,
295,45:34.333N,14:48.016E,554.0,,Kocevska,
296,46:37.100N,14:51.500E,1056.0,,Koemmelg,
297,47:0.307N,15:14.398E,352.0,,Koepplin,
298,46:40.250N,13:0.133E,698.0,,Koetscha,
299,46:2.526N,15:15.456E,184.0,,Kompolje,
300,46:30.916N,15:11.050E,1462.0,,Kopa Lif,
301,46:31.100N,13:45.100E,1078.0,,Korensko,
302,47:2.517N,13:10.750E,2436.0,,Korntaue,
303,46:58.600N,13:28.139E,828.0,,Koschach,
304,45:50.883N,15:25.150E,154.0,,Kostanje,
305,46:26.833N,14:25.783E,2030.0,,Kosuta,
306,46:14.417N,14:21.333E,390.0,,KRANJ,
307,46:29.286N,13:46.903E,800.0,,Kranjska,
308,46:29.117N,13:47.050E,806.0,,Kranjska,
309,47:8.833N,13:18.467E,1480.0,,Kreealm,
310,47:32.483N,15:32.650E,620.0,,Krieglac,
311,47:32.867N,15:33.667E,608.0,,Krieglac,
312,45:55.714N,14:28.261E,1096.0,,KRIM,
313,47:41.299N,14:42.250E,502.0,,Krippau,
